Party_Name,Total_Tons,Record_Count,Avg_Tons,Min_Tons,Max_Tons,Cumulative_Tons,Cumulative_Pct,Tons_Pct,Similar_Names,Similar_Count
Eni Trade & Biofuels Sp A,1011477.0,24,42144.875,8985.0,80948.0,387222916.7900001,68.0,0.18,,0
Sunoco Llc,982203.4299999999,63,15590.530634920633,2610.29,44196.81,388205120.2200001,68.2,0.17,,0
Ergon Oil Purchasing Inc.,976432.73,14,69745.19499999999,57861.8,79700.0,389181552.9500001,68.4,0.17,,0
Ing Bank N.V. Amsterdam,939053.11,62,15146.017903225806,2873.0,70282.0,390120606.0600001,68.6,0.17,,0
North American Fuel Corp.,936636.37,28,33451.29892857143,4519.83,41448.0,391057242.4300001,68.7,0.16,,0
Dow Europe Gmb H Plant F412,924876.04,2,462438.02,462438.02,462438.02,391982118.47000015,68.9,0.16,,0
Mcinnis Usa Inc.,912482.33,62,14717.45693548387,2883.32,27694.3,392894600.80000013,69.0,0.16,,0
Totalenergies Petro Chemicals,910886.0,2,455443.0,455443.0,455443.0,393805486.80000013,69.2,0.16,,0
Ukt Chicago Inc.,907767.87,48,18911.830625,3200.1,38500.0,394713254.67000014,69.4,0.16,,0
Total Specialties Usa Inc.,898269.12,24,37427.88,4752.72,73946.0,395611523.79000014,69.5,0.16,,0
Equinor Marketing & Trading,891930.66,16,55745.66625,8800.0,107439.0,396503454.45000017,69.7,0.16,,0
Exxonmobil Oilcorporation,884771.0,31,28541.0,4682.0,59954.0,397388225.45000017,69.8,0.16,,0
Sabic Americas,874071.35,30,29135.711666666666,4194.0,66000.0,398262296.8000002,70.0,0.15,,0
Unipec America,870794.63,16,54424.664375,16235.62,109813.0,399133091.4300002,70.1,0.15,,0
Jaime Maduro Customs Broker,867530.0,3,289176.6666666667,72078.0,497440.0,400000621.4300002,70.3,0.15,,0
Petrobras Global Trading B.V,851226.46,13,65478.95846153846,3295.84,134287.06,400851847.89000016,70.4,0.15,,0
Totsa Totalenergies Trading Sa,840748.69,45,18683.30422222222,2995.0,67627.0,401692596.58000016,70.6,0.15,,0
Two Rivers Cement,809367.0,30,26978.9,25250.0,30050.0,402501963.58000016,70.7,0.14,,0
Cepsa Trading Sau,806339.86,43,18752.08976744186,2807.0,88185.0,403308303.4400002,70.9,0.14,,0
Halliburton Energy Services,805225.14,26,30970.197692307695,7452.0,54500.0,404113528.58000016,71.0,0.14,,0
Am/Ns Calvert Llc,800754.16,14,57196.72571428572,41886.0,71152.91,404914282.7400002,71.2,0.14,,0
"Total Energies Trading Asia Pte., Ltd.",797657.15,36,22157.143055555556,2852.0,48434.0,405711939.89000016,71.3,0.14,,0
Perstorp Polyols Inc.,796296.0,2,398148.0,398148.0,398148.0,406508235.89000016,71.4,0.14,,0
Riverside Construction Materials,796262.0,17,46838.94117647059,25000.0,50910.0,407304497.89000016,71.6,0.14,,0
Morton Salt,790169.0,19,41587.84210526316,7865.0,46752.0,408094666.89000016,71.7,0.14,,0
Marathon Petroleum Co. Lp,785009.69,31,25322.89322580645,9359.22,60344.32,408879676.58000016,71.8,0.14,,0
Global Companies Llc,778491.98,48,16218.582916666666,3141.0,35950.7,409658168.5600002,72.0,0.14,,0
Nlmk Pennsylvania Corp.,775034.51,16,48439.656875,2626.0,57822.0,410433203.0700002,72.1,0.14,,0
Green America Biofuels Llc,772294.09,71,10877.381549295775,2500.14,157215.01,411205497.16000015,72.3,0.14,,0
The Essex Cement Co. Llc,766377.0,18,42576.5,40120.0,45000.0,411971874.16000015,72.4,0.13,,0
Ternium Mexico S.A. De C.V.,764969.64,21,36427.125714285714,2914.38,52210.5,412736843.80000013,72.5,0.13,,0
Helm Fertilizer Corp,763721.12,64,11933.1425,2812.28,27501.99,413500564.92000014,72.7,0.13,,0
Scl Rotterdam,749876.47,32,23433.6396875,4219.48,36995.81,414250441.39000016,72.8,0.13,,0
Shell Western Supply And,731879.01,14,52277.07214285714,10153.2,105265.54,414982320.40000015,72.9,0.13,,0
Metsae Board Americas Corp.,730737.17,100,7307.371700000001,2525.02,18276.7,415713057.5700002,73.1,0.13,,0
Chevron Products Co.,727731.44,16,45483.215,7705.0,86165.0,416440789.01000017,73.2,0.13,,0
Holcim ( Us ) Inc.,726080.0,19,38214.73684210526,4058.0,51885.0,417166869.01000017,73.3,0.13,,0
Morton Salt Chicago,725640.0,23,31549.565217391304,28000.0,33000.0,417892509.01000017,73.4,0.13,,0
Hartree Partners Lp,721682.14,22,32803.733636363635,7384.0,76231.95,418614191.15000015,73.6,0.13,,0
Chevron Usa Inc.,717570.0,53,13539.056603773584,2524.93,55757.0,419331761.15000015,73.7,0.13,,0
Ferrosource,708705.01,4,177176.2525,66850.0,292780.0,420040466.16000015,73.8,0.12,,0
Puraglobe Syntaincis Llc,697746.0,2,348873.0,348873.0,348873.0,420738212.16000015,73.9,0.12,,0
Best Petroleum Corp.,682766.18,57,11978.354035087721,2516.0,34515.22,421420978.34000015,74.1,0.12,,0
Titan Florida Llc,682580.34,17,40151.78470588235,8300.0,50650.0,422103558.6800001,74.2,0.12,,0
Circon Enviromental,681000.0,14,48642.857142857145,25000.0,120000.0,422784558.6800001,74.3,0.12,,0
Chs Inc.,675592.94,25,27023.717599999996,2812.28,50000.0,423460151.6200001,74.4,0.12,,0
Verplank's Trucking,660216.97,32,20631.7803125,8000.0,30000.0,424120368.59000015,74.5,0.12,,0
American Sugar Refining,654764.84,83,7888.733012048192,2546.44,24784.32,424775133.4300001,74.6,0.12,,0
Schnitzer Steel Industries In,653262.2,118,5536.120338983051,3000.0,6800.0,425428395.6300001,74.8,0.11,,0
Repsol Trading Sa,648387.19,13,49875.937692307685,11861.0,94115.97,426076782.8200001,74.9,0.11,,0
O Zf North America Inc.,617317.0,28,22047.035714285714,2720.0,55000.0,426694099.8200001,75.0,0.11,,0
Marathon Petroluem,602657.76,9,66961.97333333333,2766.0,143887.2,427296757.5800001,75.1,0.11,,0
George E Warren Corp,596697.75,43,13876.691860465116,3321.0,37305.52,427893455.3300001,75.2,0.1,,0
Houston Cement Co. L.P.,595286.0,12,49607.166666666664,38500.0,52588.0,428488741.3300001,75.3,0.1,,0
