HS,HS Code,Break-Bulk,Group,Cargo Grouop,Cargo,Keywords,Exception,Note,Title,Description,Count,Tons
9,0904,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Pepper of the genus <i>Piper</i>; dried or crushed or ground fruits of the genus <i>Capsicum</i> (peppers) or of the genus <i>Pimenta</i> (e.g., allspice): <i></i><i> </i>","Pepper of the genus <i>Piper</i>; dried or crushed or ground fruits of the genus <i>Capsicum</i> (peppers) or of the genus <i>Pimenta</i> (e.g., allspice): <i></i><i> </i>",1,29605
9,0902,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Tea, whether or not flavored:","Tea, whether or not flavored:",2,29
9,0901,Break-Bulk,Agricultural Products,Coffee,Coffee,Coffee,,,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion:","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion:",17,
8,0811,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter:","Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter:",1,4160
8,0810,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Other fruit, fresh:","Other fruit, fresh:",2,84
8,0808,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Apples, pears and quinces, fresh:","Apples, pears and quinces, fresh:",1,16550
8,0806,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Grapes, fresh or dried:","Grapes, fresh or dried:",2,509
8,0805,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Citrus fruit, fresh or dried:","Citrus fruit, fresh or dried:",3,468
8,0804,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried:","Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried:",1,15
8,0802,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Other nuts, fresh or dried, whether or not shelled or peeled:","Other nuts, fresh or dried, whether or not shelled or peeled:",26,19796
8,0801,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled:","Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled:",1,1
7,0713,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Dried leguminous vegetables, shelled, whether or not skinned or split:","Dried leguminous vegetables, shelled, whether or not skinned or split:",3,
7,0710,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen:","Vegetables (uncooked or cooked by steaming or boiling in water), frozen:",1,38
7,0703,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled:","Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled:",1,381
6,0603,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared:","Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared:",1,7
5,0511,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Animal products not elsewhere specified or included; dead animals of chapter 1 or 3, unfit for human consumption:","Animal products not elsewhere specified or included; dead animals of chapter 1 or 3, unfit for human consumption:",1,813
5,0506,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinized; powder and waste of these products:","Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinized; powder and waste of these products:",1,3005
5,0504,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Guts, bladders and stomachs of animals (other than fish)","whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",1,969
4,0409,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,Natural honey,Natural honey,1,128
4,0404,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included:","Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included:",13,10900
3,0306,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked crustaceans, whether in shell or not, whether or not cooked before or during the smoking process; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine:","Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked crustaceans, whether in shell or not, whether or not cooked before or during the smoking process; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine:",1,397
3,0304,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen:","Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen:",1,136427
2,0207,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen:","Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen:",1,11
2,0206,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen:","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen:",1,20000
2,0203,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Meat of swine, fresh, chilled, or frozen:","Meat of swine, fresh, chilled, or frozen:",1,149
2,0202,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Meat of bovine animals, frozen:","Meat of bovine animals, frozen:",4,7373
2,0201,Bulk,Agricultural Products,Agricultural Products,Agricultural Products,TBN,,,"Meat of bovine animals, fresh or chilled:","Meat of bovine animals, fresh or chilled:",2,42472
99,9999,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,Services provided by extraterritorial organizations and bodies,Services provided by extraterritorial organizations and bodies,1,485948
98,9880,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Importations Of Religious, Educational, Scientific And Other Institutions","Importations Of Religious, Educational, Scientific And Other Institutions",1,405
98,9818,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,Component parts of complete industrial plant in the framework of external trade,Component parts of complete industrial plant in the framework of external trade,1,577
98,9810,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,Vessel Parts And Repairs,Vessel Parts And Repairs,1,0
98,9801,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"All items of machinery including prime movers, instruments, apparatus and appliances, control gear and transmission equipment, auxiliary equipment (including those required for research and development purposes, testing and quality control), as well as all components (whether finished or not) or raw materials for the manufacture of the aforesaid items and their components, required for the initial setting up of a unit, or the substantial expansion of an existing unit, of a specified: (1) industrial plant, (2) irrigation project, (3) power project, (4) mining project, (5) project for the exploration for oil or other minerals, and (6) such other projects as the Central Government may, having regard to the economic development of the country notify in the Official Gazette in this behalf","and spare parts, other raw materials (including semi-finished material) or consumable stores not exceeding 10% of the value of the goods specified above provided that such spare parts, raw materials or consumable stores are essential for the maintenance of the plant or project mentioned in (1) to (6) above",1,6
97,9705,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Collections and collectors’ pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological or numismatic interest:","Collections and collectors’ pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological or numismatic interest:",1,96
97,9703,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Original sculptures and statuary, in any material:","Original sculptures and statuary, in any material:",1,4
96,9619,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of any material","Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of any material",1,51650
96,9618,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,Tailors' dummies and other lay figures,automata and other animated displays used for shop window dressing,1,0
96,9617,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Vacuum flasks and other vacuum vessels, complete with cases",parts thereof other than glass inners,1,47
96,9615,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Combs, hair-slides and the like; hairpins, curling pins, curling grips, hair-curlers and the like, other than those of heading 8516, and parts thereof:","Combs, hair-slides and the like; hairpins, curling pins, curling grips, hair-curlers and the like, other than those of heading 8516, and parts thereof:",1,27506
96,9609,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Pencils (other than those pencils of heading 9608), crayons, pencil leads, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks:","Pencils (other than those pencils of heading 9608), crayons, pencil leads, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks:",1,19
96,9608,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Ball point pens; felt tipped and other porous-tipped pens and markers; fountain pens, stylograph pens and other pens; duplicating styli; propelling or sliding pencils (for example, mechanical pencils); pen-holders, pencil-holders and similar holders; parts (including caps and clips) of the foregoing articles, other than those of heading 9609:","Ball point pens; felt tipped and other porous-tipped pens and markers; fountain pens, stylograph pens and other pens; duplicating styli; propelling or sliding pencils (for example, mechanical pencils); pen-holders, pencil-holders and similar holders; parts (including caps and clips) of the foregoing articles, other than those of heading 9609:",1,44780
96,9603,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Brooms, brushes (including brushes constituting parts of machines, appliances or vehicles), hand-operated mechanical floor sweepers, not motorized, mops and feather dusters; prepared knots and tufts for broom or brush making; paint pads and rollers; squeegees (other than roller squeegees):","Brooms, brushes (including brushes constituting parts of machines, appliances or vehicles), hand-operated mechanical floor sweepers, not motorized, mops and feather dusters; prepared knots and tufts for broom or brush making; paint pads and rollers; squeegees (other than roller squeegees):",1,68093
96,9601,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Worked ivory, bone, tortoise-shell, horn, antlers, coral, mother-of-pearl and other animal carving material, and articles of these materials (including articles obtained by molding):","Worked ivory, bone, tortoise-shell, horn, antlers, coral, mother-of-pearl and other animal carving material, and articles of these materials (including articles obtained by molding):",1,27000
95,9508,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Traveling circuses and traveling menageries; amusement park rides and water park amusements; fairground amusements, including shooting galleries; traveling theaters; parts and accessories thereof:","Traveling circuses and traveling menageries; amusement park rides and water park amusements; fairground amusements, including shooting galleries; traveling theaters; parts and accessories thereof:",1,266
95,9507,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Fishing rods, fish hooks and other line fishing tackle; fish landing nets, butterfly nets and similar nets; decoy ""birds"" (other than those of heading 9208 or 9705) and similar hunting or shooting equipment; parts and accessories thereof:","Fishing rods, fish hooks and other line fishing tackle; fish landing nets, butterfly nets and similar nets; decoy ""birds"" (other than those of heading 9208 or 9705) and similar hunting or shooting equipment; parts and accessories thereof:",1,110
95,9506,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this chapter; swimming pools and wading pools; parts and accessories thereof:","Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this chapter; swimming pools and wading pools; parts and accessories thereof:",1,1947
95,9505,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Festive, carnival or other entertainment articles, including magic tricks and practical joke articles; parts and accessories thereof:","Festive, carnival or other entertainment articles, including magic tricks and practical joke articles; parts and accessories thereof:",1,17265
95,9504,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Video game consoles and machines, table or parlor games, including pinball machines, billiards, special tables for casino games and automatic bowling equipment, amusement machines operated by coins, banknotes, bank cards, tokens or by any other means of payment:","Video game consoles and machines, table or parlor games, including pinball machines, billiards, special tables for casino games and automatic bowling equipment, amusement machines operated by coins, banknotes, bank cards, tokens or by any other means of payment:",1,7435
95,9503,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Tricycles, scooters, pedal cars and similar wheeled toys","dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds",1,1139197
94,9406,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,Prefabricated buildings:,Prefabricated buildings:,6,1412
94,9405,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Luminaires and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like, having a permanently fixed light source, and parts thereof not elsewhere specified or included:","Luminaires and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like, having a permanently fixed light source, and parts thereof not elsewhere specified or included:",9,3111
94,9404,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Mattress supports; articles of bedding and similar furnishing (for example, mattresses, quilts, eiderdowns, cushions, pouffes and pillows) fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics, whether or not covered:","Mattress supports; articles of bedding and similar furnishing (for example, mattresses, quilts, eiderdowns, cushions, pouffes and pillows) fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics, whether or not covered:",7,5090
94,9403,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,Other furniture and parts thereof:,Other furniture and parts thereof:,56,39578
94,9402,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Medical, surgical, dental or veterinary furniture (for example, operating tables, examination tables, hospital beds with mechanical fittings, dentists' chairs); barbers' chairs and similar chairs, having rotating as well as both reclining and elevating movements; parts of the foregoing articles:","Medical, surgical, dental or veterinary furniture (for example, operating tables, examination tables, hospital beds with mechanical fittings, dentists' chairs); barbers' chairs and similar chairs, having rotating as well as both reclining and elevating movements; parts of the foregoing articles:",3,2
94,9401,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Seats (other than those of heading 9402), whether or not convertible into beds, and parts thereof:","Seats (other than those of heading 9402), whether or not convertible into beds, and parts thereof:",47,203596
93,9301,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Military weapons, other than revolvers, pistols and the arms of heading 9307:","Military weapons, other than revolvers, pistols and the arms of heading 9307:",3,173
92,9209,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Parts (for example, mechanisms for music boxes) and accessories (for example, cards, discs and rolls for mechanical instruments) of musical instruments; metronomes, tuning forks and pitch pipes of all kinds:","Parts (for example, mechanisms for music boxes) and accessories (for example, cards, discs and rolls for mechanical instruments) of musical instruments; metronomes, tuning forks and pitch pipes of all kinds:",1,42
92,9207,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Musical instruments, the sound of which is produced, or must be amplified, electrically (for example, organs, guitars, accordions):","Musical instruments, the sound of which is produced, or must be amplified, electrically (for example, organs, guitars, accordions):",1,1
92,9202,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Other string musical instruments (for example, guitars, violins, harps):","Other string musical instruments (for example, guitars, violins, harps):",1,16
91,9112,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Clock cases and cases of a similar type for other goods of this chapter, and parts thereof:","Clock cases and cases of a similar type for other goods of this chapter, and parts thereof:",1,33
90,9032,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,Automatic regulating or controlling instruments and apparatus; parts and accessories thereof:,Automatic regulating or controlling instruments and apparatus; parts and accessories thereof:,3,1274
90,9031,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this chapter; profile projectors; parts and accessories thereof:","Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this chapter; profile projectors; parts and accessories thereof:",1,1311
90,9030,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Oscilloscopes, spectrum analyzers and other instruments and apparatus for measuring or checking electrical quantities, excluding meters of heading 9028; instruments and apparatus for measuring or detecting alpha, beta, gamma, X-ray, cosmic or other ionizing radiations; parts and accessories thereof:?","Oscilloscopes, spectrum analyzers and other instruments and apparatus for measuring or checking electrical quantities, excluding meters of heading 9028; instruments and apparatus for measuring or detecting alpha, beta, gamma, X-ray, cosmic or other ionizing radiations; parts and accessories thereof:?",1,191
90,9028,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Gas, liquid or electricity supply or production meters, including calibrating meters thereof; parts and accessories thereof:","Gas, liquid or electricity supply or production meters, including calibrating meters thereof; parts and accessories thereof:",1,
90,9027,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Instruments and apparatus for physical or chemical analysis (for example, polarimeters, refractometers, spectrometers, gas or smoke analysis apparatus); instruments and apparatus for measuring or checking viscosity, porosity, expansion, surface tension or the like; instruments and apparatus for measuring or checking quantities of heat, sound or light (including exposure meters); microtomes; parts and accessories thereof:","Instruments and apparatus for physical or chemical analysis (for example, polarimeters, refractometers, spectrometers, gas or smoke analysis apparatus); instruments and apparatus for measuring or checking viscosity, porosity, expansion, surface tension or the like; instruments and apparatus for measuring or checking quantities of heat, sound or light (including exposure meters); microtomes; parts and accessories thereof:",9,21
90,9026,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases (for example, flow meters, level gauges, manometers, heat meters), excluding instruments and apparatus of heading 9014, 9015, 9028 or 9032; parts and accessories thereof:","Instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases (for example, flow meters, level gauges, manometers, heat meters), excluding instruments and apparatus of heading 9014, 9015, 9028 or 9032; parts and accessories thereof:",10,354
90,9025,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Hydrometers and similar floating instruments, thermometers, pyrometers, barometers, hygrometers and psychrometers, recording or not, and any combination of these instruments; parts and accessories thereof:","Hydrometers and similar floating instruments, thermometers, pyrometers, barometers, hygrometers and psychrometers, recording or not, and any combination of these instruments; parts and accessories thereof:",2,1
90,9024,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Machines and appliances for testing the hardness, strength, compressibility, elasticity or other mechanical properties of materials (for example, metals, wood, textiles, paper, plastics), and parts and accessories thereof:","Machines and appliances for testing the hardness, strength, compressibility, elasticity or other mechanical properties of materials (for example, metals, wood, textiles, paper, plastics), and parts and accessories thereof:",1,104
90,9023,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Other breathing appliances and gas masks, excluding protective masks having neither mechanical parts nor replaceable filters","Other breathing appliances and gas masks, excluding protective masks having neither mechanical parts nor replaceable filters",1,
90,9022,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Apparatus based on the use of X-rays or of alpha, beta, gamma or other ionizing radiations, whether or not for medical, surgical, dental or veterinary uses, including radiography or radiotherapy apparatus, X-ray tubes and other X-ray generators, high tension generators, control panels and desks, screens, examination or treatment tables, chairs and the like; parts and accessories thereof:","Apparatus based on the use of X-rays or of alpha, beta, gamma or other ionizing radiations, whether or not for medical, surgical, dental or veterinary uses, including radiography or radiotherapy apparatus, X-ray tubes and other X-ray generators, high tension generators, control panels and desks, screens, examination or treatment tables, chairs and the like; parts and accessories thereof:",1,762
90,9020,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Other breathing appliances and gas masks, excluding protective masks having neither mechanical parts nor replaceable filters","Other breathing appliances and gas masks, excluding protective masks having neither mechanical parts nor replaceable filters",3,0
90,9019,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus; ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic respiration apparatus; parts and accessories thereof:","Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus; ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic respiration apparatus; parts and accessories thereof:",3,65
90,9018,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight-testing instruments; parts and accessories thereof:","Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight-testing instruments; parts and accessories thereof:",1,3183
90,9017,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Drawing, marking-out or mathematical calculating instruments (for example, drafting machines, pantographs, protractors, drawing sets, slide rules, disc calculators); instruments for measuring length, for use in the hand (for example, measuring rods and tapes, micrometers, calipers), not specified or included elsewhere in this chapter; parts and accessories thereof:","Drawing, marking-out or mathematical calculating instruments (for example, drafting machines, pantographs, protractors, drawing sets, slide rules, disc calculators); instruments for measuring length, for use in the hand (for example, measuring rods and tapes, micrometers, calipers), not specified or included elsewhere in this chapter; parts and accessories thereof:",1,3
90,9015,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses; rangefinders; parts and accessories thereof:","Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses; rangefinders; parts and accessories thereof:",7,81
90,9014,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,Direction finding compasses; other navigational instruments and appliances; parts and accessories thereof:,Direction finding compasses; other navigational instruments and appliances; parts and accessories thereof:,1,0
90,9013,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Lasers, other than laser diodes; other optical appliances and instruments, not specified or included elsewhere in this chapter:","Lasers, other than laser diodes; other optical appliances and instruments, not specified or included elsewhere in this chapter:",2,173
90,9007,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Cinematographic cameras and projectors, whether or not incorporating sound recording or reproducing apparatus; parts and accessories thereof:","Cinematographic cameras and projectors, whether or not incorporating sound recording or reproducing apparatus; parts and accessories thereof:",1,0
90,9001,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Optical fibers and optical fiber bundles; optical fiber cables other than those of heading 8544; sheets and plates of polarizing material; lenses (including contact lenses), prisms, mirrors and other optical elements, of any material, unmounted, other than such elements of glass not optically worked:","Optical fibers and optical fiber bundles; optical fiber cables other than those of heading 8544; sheets and plates of polarizing material; lenses (including contact lenses), prisms, mirrors and other optical elements, of any material, unmounted, other than such elements of glass not optically worked:",2,1
89,8907,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,"tons is greater than 10, mark misclassified",,"Other floating structures (for example, rafts, tanks, cofferdams, landing-stages, buoys and beacons):","Other floating structures (for example, rafts, tanks, cofferdams, landing-stages, buoys and beacons):",7,160
89,8906,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,"tons is greater than 10, mark misclassified",,"Other vessels, including warships and lifeboats other than row boats:","Other vessels, including warships and lifeboats other than row boats:",2,39
89,8905,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,"tons is greater than 10, mark misclassified",,"Light-vessels, fire-floats, dredgers, floating cranes, and other vessels the navigability of which is subsidiary to their main function; floating docks; floating or submersible drilling or production platforms:","Light-vessels, fire-floats, dredgers, floating cranes, and other vessels the navigability of which is subsidiary to their main function; floating docks; floating or submersible drilling or production platforms:",1,901
89,8903,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,"tons is greater than 10, mark misclassified",,Yachts and other vessels for pleasure or sports; row boats and canoes:,Yachts and other vessels for pleasure or sports; row boats and canoes:,1,106354
89,8901,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,"tons is greater than 10, mark misclassified",,"Cruise ships, excursion boats, ferry boats, cargo ships, barges and similar vessels for the transport of persons or goods:","Cruise ships, excursion boats, ferry boats, cargo ships, barges and similar vessels for the transport of persons or goods:",1,5600
88,8807,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,"tons is greater than 10, mark misclassified",,"Parts of goods of heading 8801, 8802 or 8806:","Parts of goods of heading 8801, 8802 or 8806:",24,21122
88,8803,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,"tons is greater than 10, mark misclassified",,Parts of goods of heading no. 8801 or 8802,Parts of goods of heading no. 8801 or 8802,1,14996
88,8802,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,"tons is greater than 10, mark misclassified",,"Other aircraft (for example, helicopters, airplanes, except unmanned aircraft of heading 8806); spacecraft (including satellites) and suborbital and spacecraft launch vehicles:","Other aircraft (for example, helicopters, airplanes, except unmanned aircraft of heading 8806); spacecraft (including satellites) and suborbital and spacecraft launch vehicles:",5,13
87,8716,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,"tons is greater than 10, mark misclassified",,"Trailers and semi-trailers; other vehicles, not mechanically propelled; and parts thereof:","Trailers and semi-trailers; other vehicles, not mechanically propelled; and parts thereof:",1,20061
87,8715,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,"tons is greater than 10, mark misclassified",,Baby carriages and parts thereof,Baby carriages and parts thereof,1,954
87,8714,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,"tons is greater than 10, mark misclassified",,Parts and accessories of vehicles of headings 8711 to 8713:,Parts and accessories of vehicles of headings 8711 to 8713:,1,145
