HS,HS Code,Break-Bulk,Group,Cargo Grouop,Cargo,Keywords,Exception,Note,Title,Description,Count,Tons
25,2517,Bulk,Construction Materials,Aggregates,"Sand, Gravel, Stone, Pebbles, Limestone, Aggregates","Sand, Gravel, Stone, Pebbles, Limestone, Aggregates",,,"Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling, or for railway or other ballast; shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 or 2516, whether or not heat-treated:","Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling, or for railway or other ballast; shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 or 2516, whether or not heat-treated:",16,2690095
25,2516,Bulk,Construction Materials,Aggregates,"Sand, Gravel, Stone, Pebbles, Limestone, Aggregates","Sand, Gravel, Stone, Pebbles, Limestone, Aggregates",,,"Granite, porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape:","Granite, porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape:",60,589765
25,2513,Bulk,Construction Materials,Pumice,Pumice,Pumice,,,"Pumice; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated:","Pumice; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated:",11,185886
25,2511,Bulk,Minerals,Barite,Barite,Barite,,,"Natural barium sulfate (barytes); natural barium carbonate (witherite), whether or not calcined, other than barium oxide of heading 2816:","Natural barium sulfate (barytes); natural barium carbonate (witherite), whether or not calcined, other than barium oxide of heading 2816:",1,3008408
25,2510,Bulk,Fertilizer,Phosphate,Phosphate,Phosphate,,,"Natural calcium phosphates, natural aluminum calcium phosphates and phosphatic chalk:","Natural calcium phosphates, natural aluminum calcium phosphates and phosphatic chalk:",1,1447347
25,2508,Bulk,Minerals,Clay,Clay,"Andalusite, Kaolin, Clay",,,"Other clays (not including expanded clays of heading 6806), andalusite, kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earths:","Other clays (not including expanded clays of heading 6806), andalusite, kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earths:",10,153385
25,2507,Bulk,Minerals,Clay,Clay,"Andalusite, Kaolin, Clay",,,Kaolin and other kaolinic clays,whether or not calcined,6,7207
25,2506,Bulk,Minerals,Minerals,Quartz,Quartz,,,"Quartz (other than natural sands); quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape:","Quartz (other than natural sands); quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape:",1,212543
25,2505,Bulk,Construction Materials,Aggregates,"Sand, Gravel, Stone, Pebbles, Limestone, Aggregates","Sand, Gravel, Stone, Pebbles, Limestone, Aggregates",,,"Natural sands of all kinds, whether or not colored, other than metalbearing sands of chapter 26:","Natural sands of all kinds, whether or not colored, other than metalbearing sands of chapter 26:",7,5284556
25,2504,Bulk,Minerals,tbn,carbon,graphite,,,Natural graphite:,Natural graphite:,1,72
25,2503,Bulk,Minerals,Fertilizer,Prilled Sulphur,"Prilled Sulphur, Formed Sulphur",,,Sulphur of all kinds,"other than sublimed, precipitated and colloidal sulphur",3,211205
25,2502,Bulk,Ferrous Raw Materials,Iron Products,"Iron Ore, Iron Concentrates",Iron Pyrites,,,Iron pyrites,unroasted,2,12600
25,2501,Bulk,Minerals,Salt,Salt,Salt,,,Salt (including table salt and denatured salt),pure sodium chloride whether or not in aqueous solution; sea water,1,6470319
24,2403,Bulk,Agricultural Products,Grain,Grain,"Misc Grains, Seeds, Feeds",,,"Other manufactured tobacco and manufactured tobacco substitutes; ""homogenized"" or ""reconstituted"" tobacco; tobacco extracts and essences:","Other manufactured tobacco and manufactured tobacco substitutes; ""homogenized"" or ""reconstituted"" tobacco; tobacco extracts and essences:",1,793
