Code,Description
212312,LIMESTONE                                LIMESTONE
336112,LIGHT TRUCK AND UTILITY VEHICLE          LIGHT TRUCK AND UTILITY VEHICLE
336999,ALL OTHER TRANSPORTATION EQUIPMENT       ALL OTHER TRANSPORTATION EQUIPMENT
