HS2,HS4,Group,Commodity,Cargo,Cargo_Detail,Keywords_Str,Min Tons,Max Tons,Note,HS Title,HS Decription,HS_Code,Port of Loading (F),Shipper,Count,Tons
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other North Korea Ports, North Korea",Taiheiyo Cement Corporation,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other Saudi Arabia Ports, Saudi Arabia",Saudi Cement Co.,1,1
25,2523,Dry Bulk,Construction Materials,Cement,Portland Cement,Portland,10,65000,KEEP,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:","Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",Classified: 2523.21,"All Other South Korea Ports, South Korea",Taiheiyo Cement Corporation,1,1
72,7219,Break-Bulk,Steel,Finished Steel,Flat Rolled Products,"HOT, ROLLED, STEEL, PLATE",1.5,60000,KEEP,"Flat-rolled products of stainless steel, of a width of 600 mm or more:","Flat-rolled products of stainless steel, of a width of 600 mm or more:",Classified: 7219.21,"All Other South Korea Ports, South Korea",Hyundai Steel Co.,1,1
72,7219,Break-Bulk,Steel,Finished Steel,Flat Rolled Products,"HOT, ROLLED, STEEL, GROSS, WEIGHT",1.5,60000,KEEP,"Flat-rolled products of stainless steel, of a width of 600 mm or more:","Flat-rolled products of stainless steel, of a width of 600 mm or more:",Classified: 7219.34,"All Other Japan Ports, Japan","Okaya & Co., Ltd.",1,1
72,7225,Break-Bulk,Steel,Finished Steel,Flat Rolled Products,"HOT, ROLLED, PICKLED, OILED, COILS",1.5,60000,KEEP,"Flat-rolled products of other alloy steel, of a width of 600 mm or more:","Flat-rolled products of other alloy steel, of a width of 600 mm or more:",Classified: 7225.30,"Sepetiba Bay, Brazil",,1,1
72,7208,Break-Bulk,Steel,Finished Steel,Flat Rolled Products,"HOT, ROLLED, PICKLED, OILED",1.5,60000,KEEP,"Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated:","Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated:",Classified: 7208.27,"Sepetiba Bay, Brazil",,1,1
72,7219,Break-Bulk,Steel,Finished Steel,Flat Rolled Products,"HOT, ROLLED, COIL",1.5,60000,KEEP,"Flat-rolled products of stainless steel, of a width of 600 mm or more:","Flat-rolled products of stainless steel, of a width of 600 mm or more:",Classified: 7219.33,"Sepetiba Bay, Brazil",,1,1
72,7219,Break-Bulk,Steel,Finished Steel,Flat Rolled Products,"HOT, ROLLED, COIL",1.5,60000,KEEP,"Flat-rolled products of stainless steel, of a width of 600 mm or more:","Flat-rolled products of stainless steel, of a width of 600 mm or more:",Classified: 7219.34,"Sepetiba Bay, Brazil",,1,1
72,7210,Break-Bulk,Steel,Finished Steel,Flat Rolled Products,"HOT, DIPPED, GALVANNEALED, STEEL, SHEET",1.5,60000,KEEP,"Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, clad, plated or coated:","Flat-rolled products of iron or nonalloy steel, of a width of 600 mm or more, clad, plated or coated:",Classified: 7210.49,"Altamira, Mexico",Posco Mexico S.A. De C.V.,1,1
