IMO,Vessel,Design,Type,DWT,LOA,Beam,Depth(m),GT,NRT,Grain,TPC,Dwt_Draft(m),Source_File
1004156,SUMURUN,,,0,0,5.06,3.35,50,46,0,0,3.32,Ship Results (61).xlsx
1004338,MAKAI,,,0,0,6.1,0,118,35,0,0,1.52,Ship Results (61).xlsx
1006025,ARRIVEDERCI IV,,,0,0,7.45,3.76,223,66,0,0,1.2,Ship Results (61).xlsx
1007823,LEVERAGE,,,66,35.28,8,5.3,380,114,0,0,2.395,Ship Results (61).xlsx
1011903,W,,,0,0,0,5.28,957,287,0,0,3.45,Ship Results (61).xlsx
1012270,ADVENTURESS,,,0,0,5.21,2.69,96,0,0,0,2.9,Ship Results (61).xlsx
1012373,ONIKA,,,0,0,8.86,4.56,464,0,0,0,2.29,Ship Results (61).xlsx
1012531,AMADEA,,,559,87.828,18.3,7.45,4402,1321,0,0,4.1,Ship Results (61).xlsx
1012995,COLUMBIA,,,0,0,8.94,3.74,145,43,0,0,2.91,Ship Results (61).xlsx
1013169,MSC SERENA,CIMC ORIC 11500,Containership-Sub New Panamax,139000,0,0,25,107062,64177,0,0,16,Ship Results (44).xlsx
1013171,MSC ELIANA,CIMC ORIC 11500,Containership-Sub New Panamax,139000,0,0,25,107062,64177,0,0,16,Ship Results (44).xlsx
1013315,MARTA COSULICH,,"Tanker-7,500-9,999dwt",7957,97.55,0,9.3,4903,2465,0,17.5,7.07,Ship Results (26).xlsx
1013327,MARINE GINZA,,"Tanker-7,500-9,999dwt",7950,97.55,0,9.6,4903,2465,0,17.5,7.07,Ship Results (26).xlsx
1013432,JFE KOKURYU,,Ro-ro cargo <=499 LM,5026,112.31,0,9.9,8611,0,0,0,5.168,Ship Results (51).xlsx
1013602,MERANTI 706,,,240,0,0,2.76,190,57,0,0,0,Ship Results (51).xlsx
1013638,SG DAWN,Imabari 211,Bulk Carrier-Newcastlemax,210125,296.02,0,25,110845,66879,222146,0,18.436,Ship Results (5).xlsx
1013640,CAPE SUZURAN,Imabari 181,Bulk Carrier-Capesize,182098,0,45.038,24.7,94321,60970,201472,0,18.246,Ship Results.xlsx
1013652,BOOTES,Imabari 40,Bulk Carrier-Handymax,40093,176.56,0,15,25240,12883,50207,0,10.483,Ship Results (1).xlsx
1013664,AFRICAN PEACOCK,Imabari 40,Bulk Carrier-Handymax,40093,176.56,0,15,25240,12883,50208,0,10.483,Ship Results (1).xlsx
1013676,AQUADONNA,I-Star 63 New,Bulk Carrier-Supra/Ultramax,63526,195.4,32.292,19.3,36278,21173,81198,0,13.53,Ship Results (13).xlsx
1013688,SORAL,I-Star 63 New,Bulk Carrier-Supra/Ultramax,63771,195.38,32.292,19.3,36140,21173,81193,0,13.526,Ship Results (13).xlsx
1013690,TRINITY ISLAND,Imabari 40,Bulk Carrier-Handymax,40490,176.56,0,15,24992,12883,50207,0,10.49,Ship Results (1).xlsx
1013705,AFRICAN LORIKEET,I-Star 63 New,Bulk Carrier-Supra/Ultramax,63425,195.4,32.292,19.3,36278,21173,81198,0,13.53,Ship Results (13).xlsx
1013717,HONG FA 199,,,11082,0,0,8.5,8666,4852,0,0,6.1,Ship Results (39).xlsx
1013729,ABAR KAVAN 4,,,480,0,0,2.3,495,150,0,0,1.7,Ship Results (51).xlsx
1013834,GAS YONGJIANG,,LPG-Very Large Gas Carrier,60454,0,36.63,22.5,56222,22228,0,0,12.8,Ship Results (29).xlsx
1013846,GAS MINJIANG,,LPG-Very Large Gas Carrier,60322,0,36.63,22.5,56222,22228,0,0,12.8,Ship Results (29).xlsx
1013901,INA DIAMOND 51,,"General Cargo 5,000-9,999 dwt",6743,0,0,7.4,3185,1962,6800,0,5.95,Ship Results (42).xlsx
1013937,JEFFREYS BAY,,Tanker-MR2,49999,176.08,32.231,19.1,29777,14020,0,53.6,13.306,Ship Results (20).xlsx
1013949,NORD MATE,,Tanker-MR2,49999,176.08,32.231,19.1,29777,14020,0,53,13.306,Ship Results (20).xlsx
1013951,UM EDO,,Tanker-MR2,49948,176.08,32.231,19.1,30131,14036,0,53.6,13.316,Ship Results (20).xlsx
1013963,STENA CONQUEST,,Tanker-MR2,49948,176.08,32.231,19.1,30131,14036,0,0,13.316,Ship Results (20).xlsx
1013975,SUIHA,,"Tanker-<=4,999dwt",1202,60.11,0,4.5,498,0,0,0,4.096,Ship Results (28).xlsx
1013987,JAL PRERANA,,Tanker-MR2,50640,175.74,32.23,19.1,29696,14171,0,53.2,13.316,Ship Results (20).xlsx
1013999,JAL KAILASH,,Tanker-MR2,50658,175.755,32.23,19.1,29696,14168,0,53.2,13.316,Ship Results (20).xlsx
1014008,JAL KALP,,Tanker-MR2,50664,175.74,32.23,19.1,29696,14169,0,53.2,13.316,Ship Results (20).xlsx
1014022,SEAEXPLORER,,Tanker-MR2,50498,0,0,19.1,29887,14172,0,53.2,13.3,Ship Results (20).xlsx
1014034,SEAMERIT,,Tanker-MR2,50498,0,0,19.1,29887,14172,0,53.2,13.3,Ship Results (20).xlsx
1014096,ISABELLA,,Tanker-LR2,113959,244.009,44.032,21.2,62716,35157,0,99.9,15.018,Ship Results (22).xlsx
1014101,SEAWISH,,Tanker-LR2,113949,244.11,44.032,21.2,62773,35161,0,99.9,15.018,Ship Results (22).xlsx
1014113,MEIYU MARU,,"Tanker-<=4,999dwt",1257,0,0,0,596,0,0,0,4.182,Ship Results (28).xlsx
1014125,FEDERAL INFINITY,I-Star 63 New,Bulk Carrier-Supra/Ultramax,63653,195.38,32.292,19.3,36140,21173,81198,0,13.526,Ship Results (13).xlsx
1014137,CHARIOTEER,Imabari 40,Bulk Carrier-Handymax,40101,176.56,0,15,25240,12883,50207,0,10.483,Ship Results (1).xlsx
1014149,SHIMANAMI ELEVEN,,"General Cargo 10,000-14,999dwt",11717,114.01,0,10.8,7356,4557,15964,0,8.13,Ship Results (41).xlsx
1014151,ISE BAY,Imabari 40,Bulk Carrier-Handymax,40101,176.56,0,15,25240,12883,50207,0,10.483,Ship Results (1).xlsx
1014163,CRIMSON SAPPHIRE,Imabari 40,Bulk Carrier-Handymax,40435,176.56,0,15,25073,12883,50207,0,10.48,Ship Results (1).xlsx
1014199,WIND CORE,,"General Cargo 10,000-14,999dwt",11722,114.01,0,10.8,7355,4557,15964,0,8.13,Ship Results (41).xlsx
1014204,FU ZHOU GUO JI,,,27195,0,0,10.1,19611,5883,0,0,6.5,Ship Results (41).xlsx
1014216,KYOKUKAI MARU,,"Tanker-5,000-7,499dwt",5564,99.22,0,8.5,4278,0,0,0,6.613,Ship Results (27).xlsx
1014228,KARA,,"Tanker-<=4,999dwt",4075,0,0,7.1,2999,1205,0,0,5.68,Ship Results (28).xlsx
1014230,ZHE SHAN,,,22332,0,0,10,21758,6527,0,0,6.6,Ship Results (41).xlsx
1014242,NORD NEWPORT,Imabari 40,Bulk Carrier-Handymax,40297,176.56,0,15,25003,12883,50207,0,10.483,Ship Results (1).xlsx
1014254,ARIETTA,,"General Cargo 10,000-14,999dwt",13465,114.18,0,14.05,9943,4527,19550,0,9.18,Ship Results (41).xlsx
1014266,LUNA HANA,,"Tanker-<=4,999dwt",1731,0,0,5.7,1445,540,0,6.9,4.98,Ship Results (28).xlsx
1014278,MIR HANA,,"Tanker-<=4,999dwt",1720,0,0,5.7,1445,540,0,0,4.98,Ship Results (28).xlsx
1014280,TSUNOMINE BULKER,High Bulk 40E,Bulk Carrier-Handymax,40550,0,0,14.8,24440,13003,50517,0,10.392,Ship Results (1).xlsx
1014319,HORIZON TRADER,SDARI 40,Bulk Carrier-Handymax,40598,0,0,15.2,25171,13740,50515,0,10.95,Ship Results (1).xlsx
1014321,YUUSEI,,,2282,0,0,7.98,749,0,2607,0,4.672,Ship Results (39).xlsx
1014369,OCEAN TRADER,SDARI 40,Bulk Carrier-Handymax,40552,0,0,15.2,25171,13740,50300,0,10.95,Ship Results (1).xlsx
1014371,PALADIN TRADER,SDARI 40,Bulk Carrier-Handymax,40546,0,0,15.2,25171,13740,50300,0,10.95,Ship Results (1).xlsx
1014424,BRAVE EAGLE,High Bulk 40E,Bulk Carrier-Handymax,40483,0,0,14.8,24441,13003,50509,0,10.392,Ship Results (1).xlsx
1014436,BRAVE HAWK,High Bulk 40E,Bulk Carrier-Handymax,40492,0,0,14.8,24441,13003,50509,0,10.392,Ship Results (1).xlsx
1014462,NATURE FLOWING,,Bulk Carrier-Supra/Ultramax,63692,0,32.26,18.9,35743,21208,80000,0,13.5,Ship Results (13).xlsx
1014474,OCEAN FLOWING,,Bulk Carrier-Supra/Ultramax,63684,0,32.26,18.9,35743,21230,80000,0,13.5,Ship Results (13).xlsx
1014527,BL IVY,,Bulk Carrier-Pmax/Kamsarmax,71059,205.27,0,24.5,53192,30590,133385,0,12.98,Ship Results (39).xlsx
1014539,JANE MCALLISTER,,,208,0,0,4.724,366,109,0,0,0,Ship Results (58).xlsx
1014541,EL JUNIPER,,Bulk Carrier-Pmax/Kamsarmax,71085,205.27,0,24.5,53192,30590,133385,0,12.96,Ship Results (39).xlsx
1014553,FL KINGWOOD,,Bulk Carrier-Pmax/Kamsarmax,71059,205.27,0,24.5,53192,30590,133385,0,12.983,Ship Results (39).xlsx
1014565,SL LARCH,,Bulk Carrier-Pmax/Kamsarmax,71058,205.27,0,24.5,53192,30590,133385,0,12.983,Ship Results (39).xlsx
1014577,AQUAGRACE,OS 64BC ECO,Bulk Carrier-Supra/Ultramax,64678,0,32.298,19.28,36068,21300,81215,0,13.5,Ship Results (13).xlsx
1014589,AQUAGLORY,OS 64BC ECO,Bulk Carrier-Supra/Ultramax,64650,0,32.298,19.28,36068,21300,81205,0,13.5,Ship Results (13).xlsx
1014591,NEW ACACIA,,Bulk Carrier-Large Handy,39415,0,0,15.33,23774,12862,46191,0,10.85,Ship Results (2).xlsx
1014606,SEA GOAT,High Bulk 40E,Bulk Carrier-Handymax,40255,0,0,14.8,24595,13001,50508,0,10.39,Ship Results (1).xlsx
1014618,BIRD OF PARADISE,High Bulk 40E,Bulk Carrier-Handymax,40259,0,0,14.8,24595,13001,50509,0,10.39,Ship Results (1).xlsx
1014644,YASA SUN,,Bulk Carrier-Supra/Ultramax,63971,0,32.31,18.85,35571,21429,77500,0,13.5,Ship Results (13).xlsx
1014656,YASA MOON,,Bulk Carrier-Supra/Ultramax,64030,0,32.31,18.85,35571,21422,77500,0,13.5,Ship Results (13).xlsx
1014668,YASA STAR,,Bulk Carrier-Supra/Ultramax,63968,0,32.31,18.85,35571,21433,77500,0,13.5,Ship Results (13).xlsx
1014670,YASA PLUTO,,Bulk Carrier-Supra/Ultramax,64009,0,32.31,18.85,35571,21424,77500,0,13.5,Ship Results (13).xlsx
1014682,SUIFUN,,,7486,0,0,6.2,4130,2807,0,0,4.55,Ship Results (42).xlsx
1014838,WARRIOR,High Bulk 40E,Bulk Carrier-Handymax,40053,0,0,14.8,24479,13003,50508,0,10.39,Ship Results (1).xlsx
1014840,ALLEGRA,High Bulk 40E,Bulk Carrier-Handymax,40005,0,0,14.8,24479,13003,50508,0,10.39,Ship Results (1).xlsx
1014864,INVICTUS,,Tanker-Suezmax,156906,263.831,46.034,24,80294,50128,0,0,17.65,Ship Results (18).xlsx
1014876,IMOLA,,Tanker-Suezmax,156906,263.831,46.034,24,80294,50128,0,112.3,17.67,Ship Results (18).xlsx
1014931,TAI HOMAGE,High Bulk 40E,Bulk Carrier-Large Handy,39983,0,0,14.8,24458,13025,50500,0,10.37,Ship Results (2).xlsx
1014955,TAI HONOR,High Bulk 40E,Bulk Carrier-Large Handy,39949,0,0,14.8,24458,13025,50509,0,10.392,Ship Results (2).xlsx
1014967,CARPE DIEM,High Bulk 40E,Bulk Carrier-Handymax,40455,0,0,14.8,24441,13003,50508,0,10.392,Ship Results (1).xlsx
1014979,LOLITA,High Bulk 40E,Bulk Carrier-Handymax,40420,0,0,14.8,24441,13003,50508,0,10.392,Ship Results (1).xlsx
1014981,MUZAFFERBEY,,"General Cargo <=4,999 dwt",4471,0,0,7.15,2793,1511,5245,0,5.7,Ship Results (43).xlsx
1015014,XIN HUI HAI,,Container-Baby post-Panamax,83202,0,0,19.2,50583,0,0,0,13.5,Ship Results (44).xlsx
1015026,JIN HANG ZHENG NENG,,Bulk Carrier-Pmax/Kamsarmax,79997,0,0,19.3,43418,24314,98125,0,13.59,Ship Results (6).xlsx
1015088,NATHEA-M,,"Tanker-5,000-7,499dwt",6038,0,16.8,8.45,4066,1780,0,14.7,6.7,Ship Results (27).xlsx
1015090,AYU EXPRESS 2,,,3023,0,0,4.23,2089,627,0,0,3.17,Ship Results (51).xlsx
1015105,SATARE SAHEL,,,1300,0,0,3.2,497,166,0,0,2.7,Ship Results (51).xlsx
1015143,ZY JUHE,Nantong 63BC,Bulk Carrier-Supra/Ultramax,63833,0,32.304,18.9,35638,21210,78000,0,13.5,Ship Results (13).xlsx
1015155,SPAR MAIA,Nantong 63BC,Bulk Carrier-Supra/Ultramax,63797,0,32.304,18.9,35638,21201,78000,0,13.5,Ship Results (13).xlsx
1015167,TAE DONG MUN 1,,"General Cargo 5,000-9,999 dwt",8667,113.48,0,9.1,5695,3064,0,0,6.8,Ship Results (42).xlsx
1015222,CHITOSE,,"Tanker-<=4,999dwt",3196,88.14,0,7,2114,0,0,0,5.412,Ship Results (28).xlsx
1015246,MERATUS CILACAP,,Containership-Small Feeder,5637,0,0,8.55,5262,2946,0,0,4.9,Ship Results (46).xlsx
1015258,PARNASSOS,,Tanker-VLCC,302062,0,60.044,29.35,157208,102348,0,0,21.58,Ship Results (17).xlsx
1015260,CLEANSEAS JOY,,"Tanker-<=4,999dwt",1343,0,0,5,1115,375,0,0,4,Ship Results (28).xlsx
1015284,ICHIE MARU,,,1212,0,0,4.5,499,0,0,0,4.2,Ship Results (41)tanker.xlsx
1015296,CHITOSE NO. 3,,,1205,0,0,4.5,497,0,0,0,4.2,Ship Results (41)tanker.xlsx
1015301,GYOKUKO MARU NO. 28,,"Tanker-<=4,999dwt",303,0,0,3.25,99,0,0,0,3.1,Ship Results (28).xlsx
1015313,CYTA,High Bulk 40E,Bulk Carrier-Handymax,40442,0,0,14.8,24441,13003,50509,0,10.392,Ship Results (1).xlsx
1015325,ANNELIESE,High Bulk 40E,Bulk Carrier-Handymax,40398,0,0,14.8,24441,13003,50509,0,10.392,Ship Results (1).xlsx
1015337,CENTURY ZHENGZHOU,Nantong 63BC,Bulk Carrier-Supra/Ultramax,63743,0,32.304,18.9,35651,21205,98670,0,13.5,Ship Results (13).xlsx
1015349,CENTURY BEIJING,Nantong 63BC,Bulk Carrier-Supra/Ultramax,63743,0,32.304,18.9,35651,21205,78481,0,13.5,Ship Results (13).xlsx
1015351,OCEAN DELIGHT,SHI 40BC,Bulk Carrier-Large Handy,39539,174.69,0,14.8,25069,12429,49878,0,10.224,Ship Results (2).xlsx
1015363,SINAR SULAWESI,Naikai 1900,Containership-Regional Feeder,28663,0,28.45,14.5,19944,9362,0,0,10.321,Ship Results (45).xlsx
1015375,SINAR SUMATERA,Naikai 1900,Containership-Regional Feeder,28679,0,28.45,14.5,19944,9362,0,0,10.321,Ship Results (45).xlsx
1015387,YONG CHENG 669,,,3495,0,0,6.5,2721,1523,0,0,5.05,Ship Results (41)tanker.xlsx
1015404,FU YUAN 3,,Bulk Carrier-Large Handy,32292,0,0,13.9,18794,10524,40255,0,10,Ship Results (2).xlsx
1015428,JIU HUA JU LI,,Bulk Carrier-Pmax/Kamsarmax,79996,0,0,19.3,43418,24314,98125,0,13.59,Ship Results (6).xlsx
1015430,HE HAI 10,,"Tanker-7,500-9,999dwt",8304,0,0,9.7,6379,0,0,0,6.8,Ship Results (26).xlsx
1015442,AN FENG 05,,Bulk Carrier-Small Handy,22672,0,0,13.1,15000,0,27743,0,9.4,Ship Results (9).xlsx
1015454,LAKMOS,High Bulk 40E,Bulk Carrier-Handymax,40490,0,0,14.8,24464,13003,50508,0,10.392,Ship Results (1).xlsx
1015466,MYTIKAS,High Bulk 40E,Bulk Carrier-Handymax,40515,0,0,14.8,24464,13003,50509,0,10.392,Ship Results (1).xlsx
1015478,XIN RUI 009,,,16725,0,0,9.4,14091,7890,0,0,5.93,Ship Results (54).xlsx
1015480,DA AN 78,,,5775,0,0,8.2,4352,0,0,0,6.23,Ship Results (41)tanker.xlsx
1015492,JIA YUE 18,,"Tanker-5,000-7,499dwt",5180,0,0,8.2,4142,0,0,0,6,Ship Results (27).xlsx
1015507,CAPRI ISLAND,High Bulk 40E,Bulk Carrier-Handymax,40525,0,0,14.8,24454,13003,50509,0,10.392,Ship Results (1).xlsx
1015519,MAPLE ISLAND,High Bulk 40E,Bulk Carrier-Handymax,40521,0,0,14.8,24454,13003,50509,0,10.392,Ship Results (1).xlsx
1015533,THAE RYONG 3,,"General Cargo 5,000-9,999 dwt",5116,0,0,7.4,2985,1671,0,0,5.95,Ship Results (42).xlsx
1015545,HAI DA 769,,"Tanker-<=4,999dwt",4550,0,0,6.8,2983,0,0,0,5.7,Ship Results (28).xlsx
1015557,NING YUAN CHUN XIAO,,,4972,0,0,8,4027,0,0,0,5.95,Ship Results (41)tanker.xlsx
1015571,ANSAC RISING SUN,High Bulk 40E,Bulk Carrier-Handymax,40519,0,0,14.8,24441,13003,50508,0,10.392,Ship Results (1).xlsx
1015583,ANSAC REVERENCE,High Bulk 40E,Bulk Carrier-Handymax,40524,0,0,14.8,24441,13003,50509,0,10.392,Ship Results (1).xlsx
1015600,SG SUNRISE,,Bulk Carrier-Newcastlemax,211474,295.5,0,25.2,112097,69069,229202,0,18.64,Ship Results (5).xlsx
1015612,HAWAIKI NUI 2,,Ro-ro cargo <=499 LM,2605,0,0,10.8,4089,1226,0,0,4.5,Ship Results (51).xlsx
1015636,YONG JI HAI,,Bulk Carrier-Large Handy,32360,0,0,13.9,18794,10524,43387,0,10,Ship Results (2).xlsx
1015650,RUN HUA 817,,Bulk Carrier-Pmax/Kamsarmax,75788,0,0,18,40823,0,91456,0,11.3,Ship Results (6).xlsx
1015662,PEARL LEGACY,,"Tanker-5,000-7,499dwt",6795,98.07,0,9.1,4900,2063,0,0,7.013,Ship Results (27).xlsx
1015674,PEARL LIBERTY,,"Tanker-5,000-7,499dwt",6771,98.07,0,9.1,4900,2063,0,0,7.013,Ship Results (27).xlsx
1015686,PEARL LOYALE,,"Tanker-5,000-7,499dwt",6788,98.07,0,9.1,4900,2063,0,0,7.013,Ship Results (27).xlsx
1015698,PEARL LILY,,"Tanker-5,000-7,499dwt",6779,98.07,0,9.1,4900,2063,0,0,7.013,Ship Results (27).xlsx
1015703,PEARL LEGO,,"Tanker-5,000-7,499dwt",6813,98.07,0,9.1,4900,2063,0,0,7.013,Ship Results (27).xlsx
1015715,PEARL LAVENDER,,"Tanker-5,000-7,499dwt",6786,98.07,0,9.1,4900,2063,0,0,7.013,Ship Results (27).xlsx
1015727,HUA SHENG 167,,Bulk Carrier-Supra/Ultramax,64997,0,0,17,38007,21283,84426,0,11,Ship Results (13).xlsx
1015739,SHI JI FENG RONG,,Bulk Carrier-Large Handy,29471,0,0,13.8,16264,9107,35274,0,10,Ship Results (2).xlsx
1015741,HSL GERALDTON,High Bulk 40E,Bulk Carrier-Handymax,40528,0,0,14.8,24467,13003,50509,0,10.392,Ship Results (1).xlsx
1015753,MTR JUPITER,High Bulk 40E,Bulk Carrier-Handymax,40502,0,0,14.8,24467,13003,50508,0,10.392,Ship Results (1).xlsx
1015765,GLOBAL FUTURE,Namura 184BC,Bulk Carrier-Capesize,182613,0,0,24.69,94783,59719,199503,0,18.24,Ship Results.xlsx
1015789,VANGUARD,,,0,0,0,4.687,593,100,0,0,2.743,Ship Results (55).xlsx
1015791,ZHONG CHUAN 701,,,7500,0,0,9.4,5813,2451,0,18.9,6.7,Ship Results (41)tanker.xlsx
1015806,HT GOLDEN,,,12000,0,0,7.6,18218,7737,0,0,5.35,Ship Results (41).xlsx
1015818,JULIA V,,"General Cargo 5,000-9,999 dwt",8330,140.33,0,6,6786,4041,13480,0,4.6,Ship Results (42).xlsx
1015820,ANASTASIA V,,"General Cargo 5,000-9,999 dwt",8330,140.33,0,6,6786,4041,13480,0,4.6,Ship Results (42).xlsx
1015832,DARYA DIYA,Crown 63 Plus,Bulk Carrier-Supra/Ultramax,64650,196.52,0,18.8,36172,21651,78865,61.1,13.3,Ship Results (13).xlsx
1015844,DARYA JIYA,Crown 63 Plus,Bulk Carrier-Supra/Ultramax,64670,196.52,0,18.8,36172,21651,78870,0,13.5,Ship Results (13).xlsx
1015868,GEM RUBY,,Tanker-MR2,49999,176.075,32.233,19.1,29505,13956,0,0,13.274,Ship Results (20).xlsx
1015870,GEM SAPPHIRE,,Tanker-MR2,49999,176.075,32.233,19.1,29505,13956,0,53.6,13.274,Ship Results (20).xlsx
1015882,GY. SGT. BASILONE,,,0,0,0,3.8,345,103,0,0,0,Ship Results (58).xlsx
1015894,SGT. HARRELL,,,205,0,0,3.79,345,103,0,0,2.6,Ship Results (58).xlsx
1015909,KOHZAN MARU VII,,Tanker-MR2,47960,178.711,32.229,18.6,29969,13413,0,0,12.787,Ship Results (20).xlsx
1015935,XIN YI BO LI 01,,"General Cargo 5,000-9,999 dwt",5052,98.8,0,7.28,3666,2333,5702,0,5.68,Ship Results (42).xlsx
1015947,XIN YI BO LI 02,,"General Cargo 5,000-9,999 dwt",5047,0,0,7.28,2990,0,5702,0,5.68,Ship Results (42).xlsx
1015959,HMM LEAF,,Containership-Post-Panamax,99726,268.8,0,24.8,86290,43513,0,0,14.621,Ship Results (44).xlsx
1016056,WINDPOWER,,,8768,114.07,0,9.5,6803,2519,0,14.5,7.3,Ship Results (41)tanker.xlsx
1016109,SCARLET CYPRESS,Sanoyas 82 New,Bulk Carrier-Pmax/Kamsarmax,82010,0,32.281,20.15,43455,27565,97034,0,14.594,Ship Results (6).xlsx
1016111,FRIENDSHIP DIVA,Sanoyas 82 New,Bulk Carrier-Pmax/Kamsarmax,81982,0,32.281,20.15,43463,27565,97034,0,14.594,Ship Results (6).xlsx
1016123,PROSO,Sanoyas 82 New,Bulk Carrier-Pmax/Kamsarmax,81962,0,32.281,20.15,43455,27565,97034,0,14.594,Ship Results (6).xlsx
1016135,SINCERITY DIVA,Sanoyas 82 New,Bulk Carrier-Pmax/Kamsarmax,81992,0,32.281,20.15,43455,27565,97034,0,14.594,Ship Results (6).xlsx
1016161,ZHONG PENG YOU YI,,Containership-Regional Feeder,29794,0,0,14,18711,10478,0,0,10.1,Ship Results (45).xlsx
1016173,SOWA MARU,,,0,0,0,3.3,198,54,0,0,3.1,Ship Results (41)tanker.xlsx
1016185,SELANGOR PARK,,Tanker-Handy,19989,138.44,24.03,13.1,12221,6260,0,29.9,9.712,Ship Results (24).xlsx
1016197,KEVSER 3,,"Tanker-<=4,999dwt",790,50.32,0,4,497,204,0,0,2.9,Ship Results (28).xlsx
1016202,PASHA 11,,"Tanker-<=4,999dwt",1750,65.57,0,5,998,457,0,0,4.16,Ship Results (28).xlsx
1016214,KEDROS,,Tanker-LR2,113920,244.014,44.035,21.2,62716,35150,0,99.9,15,Ship Results (22).xlsx
1016226,KASTOS,,Tanker-LR2,113897,244.08,44.035,21.2,62716,35130,0,99.9,15.02,Ship Results (22).xlsx
1016276,SUN KRONOS,,Tanker-Handy,12577,118.28,20.43,11.3,7294,3847,0,21.3,8.814,Ship Results (24).xlsx
1016290,SAEHAN OLIVIA,Funecs-19,Tanker-Handy,19765,140.02,0,13.35,12190,6004,0,29.6,9.715,Ship Results (24).xlsx
1016305,MH BORGA,Funecs-19,Tanker-Handy,19761,0,0,13.35,12190,6004,0,0,9.715,Ship Results (24).xlsx
1016355,SONG NIM 5,,"General Cargo 5,000-9,999 dwt",5262,0,16.2,7.4,2972,1918,6800,0,5.54,Ship Results (42).xlsx
1016367,AURORA,RApport2600,,172,0,0,5.059,345,103,0,0,4.37,Ship Results (58).xlsx
1016472,ZY IDOL,Crown 63 Plus,Bulk Carrier-Supra/Ultramax,64675,0,0,18.8,36216,21651,78855,0,13.5,Ship Results (13).xlsx
1016484,STAR OCEAN,Crown 63 Plus,Bulk Carrier-Supra/Ultramax,64576,0,0,18.8,36313,21651,78870,0,13.5,Ship Results (13).xlsx
1016496,OPAL WEALTH,KHI Supramax,Bulk Carrier-Supra/Ultramax,64241,0,32.29,19.4,36452,21011,81431,0,13.525,Ship Results (13).xlsx
1016501,BS HAIPHONG,,Tanker-Handy,12992,120.85,0,11.5,8593,4108,0,0,8.744,Ship Results (24).xlsx
1016513,BS ULSAN,,Tanker-Handy,12986,0,0,11.5,8593,4108,0,0,8.744,Ship Results (24).xlsx
1016563,JOANNA BORCHARD,,Containership-Regional Feeder,17495,146.872,27.09,14.1,14974,6246,0,0,9.5,Ship Results (46).xlsx
1016575,JUDITH BORCHARD,,Containership-Regional Feeder,17499,146.872,27.09,14.1,14974,6246,0,0,9.5,Ship Results (46).xlsx
1016587,MARTTA,,Containership-Regional Feeder,17484,0,0,14.1,14974,6246,0,0,9.5,Ship Results (46).xlsx
1016604,JIA YI 28,,"Reefer-5,000-7,999dwt",7658,0,0,10.2,6737,3390,0,0,7.4,Ship Results (47).xlsx
1016628,KAI HANG 5,,Containership-Small Feeder,11373,0,0,12.5,12886,6000,0,0,9,Ship Results (46).xlsx
1016654,MSC LEILA,CIMC ORIC 11500,Containership-Sub New Panamax,139647,0,45.86,25,106463,64111,0,0,16,Ship Results (44).xlsx
1016666,MSC INSA,CIMC ORIC 11500,Containership-Sub New Panamax,139641,0,45.86,25,106463,64111,0,0,16,Ship Results (44).xlsx
1016680,MSC EDNA,CIMC ORIC 11500,Containership-Sub New Panamax,139394,0,45.86,25,107533,63592,0,0,16,Ship Results (44).xlsx
1016692,MSC ADELE,CIMC ORIC 11500,Containership-Sub New Panamax,139436,0,45.86,25,107533,63592,0,0,16,Ship Results (44).xlsx
1016757,XIN LIN HAI 18,,"General Cargo 5,000-9,999 dwt",8603,0,0,8.6,5501,2871,0,0,6.6,Ship Results (42).xlsx
1016800,TANTO HORAS,,Containership-Small Feeder,8510,0,0,7.3,6761,3767,0,0,5.2,Ship Results (46).xlsx
1016812,FENG YI 9,,LPG-Small Gas Carrier,4627,0,0,8,4942,1542,0,0,6,Ship Results (30).xlsx
1016848,HUI GANG TONG 128,,,2200,0,0,6.2,1796,1006,0,0,4,Ship Results (43).xlsx
1016874,CHANG DA 168,,"General Cargo 5,000-9,999 dwt",9500,0,0,9.2,5727,3529,0,0,7.2,Ship Results (42).xlsx
1016886,SLM AIOLOS,,,12992,125.44,0,8,7542,3121,0,0,5.664,Ship Results (41).xlsx
1016898,SLM DIONYSOS,,,13031,125.44,0,8,10406,3121,0,0,5.664,Ship Results (41).xlsx
1016903,SLM APHRODITE,,,13043,125.44,0,8,7542,3121,0,0,5.664,Ship Results (41).xlsx
1016927,HONG XIANG 668,,,6168,89.9,0,6.8,5749,1700,0,0,5.5,Ship Results (39).xlsx
1016991,SHENG YANG 699,,,11467,0,0,8.8,10622,5948,0,0,6,Ship Results (39).xlsx
1017012,XIN LIN HAI 6,,"General Cargo 5,000-9,999 dwt",8135,0,0,8.8,5471,3032,0,0,6.9,Ship Results (42).xlsx
1017048,METRO MISTRAL,Whale OT75,Tanker-LR1,74949,0,36.091,20,44370,22249,0,0,13.7,Ship Results (23).xlsx
1017050,METRO LIVAS,Whale OT75,Tanker-LR1,74944,0,0,20,44370,22249,0,0,13.7,Ship Results (23).xlsx
1017141,MIN HUA 8,,"General Cargo 10,000-14,999dwt",12466,0,0,10.3,8201,4459,15887,0,7.6,Ship Results (41).xlsx
1017153,RATU RENGGANIS,,"Tanker-5,000-7,499dwt",6881,0,0,6.93,4891,2154,0,0,5.57,Ship Results (27).xlsx
