IMO,Vessel,Design,Type,DWT,LOA,Beam,Depth(m),GT,NRT,Grain,TPC,Dwt_Draft(m),Source_File
9964510,MAERSK EUNAPOLIS,,Containership-New Panamax,152237,322.97,0,23.04,127814,67667,0,0,16.045,Ship Results (44).xlsx
9964522,MAERSK EL BOSQUE,,Containership-New Panamax,152237,322.97,0,23.04,127814,67667,0,0,16.045,Ship Results (44).xlsx
9964534,SANGKO UNO 66,,,10482,0,0,8.2,7464,2239,6811,0,5.8,Ship Results (39).xlsx
9964546,GAS CHANGJIANG,,LPG-Very Large Gas Carrier,60648,0,36.63,22.5,56222,22228,0,73.5,12.8,Ship Results (29).xlsx
9964558,GAS HUANGHE,,LPG-Very Large Gas Carrier,60551,0,36.63,22.5,56222,22228,0,73.5,12.8,Ship Results (29).xlsx
9964584,MEIKOU MARU,,"Tanker-<=4,999dwt",1259,0,0,4.5,499,0,0,0,4.223,Ship Results (28).xlsx
9964596,CUL SHEKOU,SDARI 2700,Containership-Feedermax,34890,0,32.244,17.2,27131,11886,0,0,11.5,Ship Results (45).xlsx
9964601,CUL HOCHIMINH,SDARI 2700,Containership-Feedermax,34916,0,32.244,17.2,27131,11886,0,0,11.5,Ship Results (45).xlsx
9964613,BG GREEN,,Containership-Regional Feeder,20162,0,0,14.85,18292,7524,0,0,9.6,Ship Results (45).xlsx
9964625,BG BLUE,,Containership-Regional Feeder,20110,0,0,14.85,18292,7524,0,0,9.6,Ship Results (45).xlsx
9964637,BG ORANGE,,Containership-Regional Feeder,20212,0,0,14.85,18292,7524,0,0,9.6,Ship Results (45).xlsx
9964663,MAPLE WISDOM,SDARI KMAX82NEW,Bulk Carrier-Pmax/Kamsarmax,82253,0,32.312,20.35,44560,27152,96828,0,14.5,Ship Results (6).xlsx
9964704,KAKUSEN MARU,,"Tanker-<=4,999dwt",2354,74.75,0,5.75,998,0,0,0,5.151,Ship Results (28).xlsx
9964728,KOSHIN MARU,,,366,0,0,0,320,0,0,0,2.853,Ship Results (41)tanker.xlsx
9964742,SUNNY LILAC,,Containership-Regional Feeder,12359,129.92,0,11,9940,4663,0,0,8.215,Ship Results (46).xlsx
9964754,SUNNY VIOLET,,Containership-Regional Feeder,12319,129.92,0,11,9940,4663,0,0,8.215,Ship Results (46).xlsx
9964819,ELEPHANTA,Tess-66Aeroline,Bulk Carrier-Supra/Ultramax,66301,196.19,0,19.15,36684,22520,81637,0,13.827,Ship Results (13).xlsx
9964821,NORSE EVOLUTION,Tess-66Aeroline,Bulk Carrier-Supra/Ultramax,66305,196.19,0,19.15,36684,22520,81637,0,13.827,Ship Results (13).xlsx
