HS2,HS2_Description,Record_Count,Total_Tons,Shipper_Coverage_Pct,Consignee_Coverage_Pct,Either_Coverage_Pct,Both_Coverage_Pct,Tonnage_Coverage_Pct,Tons_Harmonized,Tons_Unmatched
5.0,Animal Products,11,4665.29,0.0,0.0,0.0,0.0,0.0,0.0,4665.29
1.0,Live Animals,69,3772.67,0.0,0.0,0.0,0.0,0.0,0.0,3772.67
49.0,Printed Books,2030,2444.4,0.0,0.0,0.0,0.0,0.0,0.0,2444.4
50.0,Silk,77,2172.27,0.0,0.0,0.0,0.0,0.0,0.0,2172.27
36.0,Explosives,266,1990.45,0.0,0.0,0.0,0.0,0.0,0.0,1990.45
46.0,Straw/Basketware,29,1432.64,0.0,0.0,0.0,0.0,0.0,0.0,1432.64
67.0,Feathers/Flowers,20,1420.68,0.0,0.0,0.0,0.0,0.0,0.0,1420.68
0.0,,14,1360.3,0.0,0.0,0.0,0.0,0.0,0.0,1360.3
92.0,Musical Instruments,57,1297.09,0.0,0.0,0.0,0.0,0.0,0.0,1297.09
66.0,Umbrellas,9,1023.39,0.0,0.0,0.0,0.0,0.0,0.0,1023.39
71.0,Precious Metals,116,748.56,0.0,0.0,0.0,0.0,0.0,0.0,748.56
16.0,Meat/Fish Preps,109,730.3,0.0,0.0,0.0,0.0,0.0,0.0,730.3
60.0,Knitted Fabrics,7,573.77,0.0,0.0,0.0,0.0,0.0,0.0,573.77
65.0,Headgear,24,568.94,0.0,0.0,0.0,0.0,0.0,0.0,568.94
51.0,Wool,4,392.7,0.0,0.0,0.0,0.0,0.0,0.0,392.7
97.0,Art/Antiques,295,370.64,0.0,0.0,0.0,0.0,0.0,0.0,370.64
58.0,Special Woven,9,61.94,0.0,0.0,0.0,0.0,0.0,0.0,61.94
59.0,Impregnated Textiles,22,61.16,0.0,0.0,0.0,0.0,0.0,0.0,61.16
37.0,Photo/Cinema,12,2.32,0.0,0.0,0.0,0.0,0.0,0.0,2.32
6.0,Live Trees,4,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.22
45.0,Cork,1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09
