Entity_Type,Entity_1,Entity_2,Entity_1_Total_Tons,Entity_2_Total_Tons,Overlapping_Trade_Lanes,Overlap_Tonnage,Overlap_Pct_Entity_1,Overlap_Pct_Entity_2,Max_Overlap_Pct,Top_Competing_Lane_1,Top_Competing_Lane_2,Top_Competing_Lane_3
Consignee,CITGO PETROLEUM CORP.,GULF (VAL GBL GLF),4937851.879999998,18055.81,1,18055.81,0.36566123162041886,100.0,100.0,"PEMBROKE, UNITED KINGDOM→NEW YORK|GENERAL CARGO",,
Consignee,EDGEN MURRAY CORP.,VOEST ALPINE TUBULAR CORP.,25143.77,182486.71000000017,2,18039.46,71.74524743107338,9.885355486983125,71.74524743107338,"BRAKE, GERMANY→HOUSTON|FORESTRY","BREMEN, GERMANY→HOUSTON|FORESTRY",
Consignee,EDGEN MURRAY CORP.,SALZGITTER MANNESMANN INTERNATIONAL,25143.77,130183.92000000007,2,18039.46,71.74524743107338,13.856903371783542,71.74524743107338,"BRAKE, GERMANY→HOUSTON|FORESTRY","BREMEN, GERMANY→HOUSTON|FORESTRY",
Consignee,EDGEN MURRAY CORP.,GRANT PRIDECO LP,25143.77,39511.109999999986,2,18039.46,71.74524743107338,45.65667732442851,71.74524743107338,"BRAKE, GERMANY→HOUSTON|FORESTRY","BREMEN, GERMANY→HOUSTON|FORESTRY",
Shipper,MANUCHAR NV,WHITE DIAMOND INDUSTRIES LLC,44507.30000000001,18022.0,1,18022.0,40.492233858265934,100.0,100.0,"ZHANJIANG, CHINA→LA-LONG BEACH|FORESTRY",,
Consignee,INDUSTRIAS LA VICTORIA S.A.S,MANUCHAR NV,18022.0,43501.44000000002,1,18022.0,100.0,41.42851363081312,100.0,"ZHANJIANG, CHINA→LA-LONG BEACH|FORESTRY",,
Consignee,ARCHER DANIELS MIDLAND CO.,INTEROCEANIC CORP.,1088346.8700000006,293567.12,1,18020.0,1.6557221320441697,6.138289601369527,6.138289601369527,"HAMBURG, GERMANY→HOUSTON|GENERAL CARGO",,
Consignee,GEORGE,LEELYNN LOGISTICS LLC,39246.0,18018.46,1,18018.46,45.911583346073485,100.0,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS",,
Consignee,ITOCHU CHEMICALS AMERICA INC.,LEELYNN LOGISTICS LLC,56926.72,18018.46,1,18018.46,31.65202562171156,100.0,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS",,
Consignee,KUKDO CHEMICAL AMERICA INC.,LEELYNN LOGISTICS LLC,27007.22,18018.46,1,18018.46,66.7171963645277,100.0,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS",,
Consignee,CITI BANK NA LONDON,LEELYNN LOGISTICS LLC,24605.620000000003,18018.46,1,18018.46,73.2290427959141,100.0,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS",,
Consignee,LEELYNN LOGISTICS LLC,"TO THE ORDER OF VITOL ASIA PTE., LTD.",18018.46,98274.0,1,18018.46,100.0,18.33492073183141,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS",,
Consignee,LEELYNN LOGISTICS LLC,MOTIVA ENTERPRISES LLC,18018.46,474738.4299999998,1,18018.46,100.0,3.7954500544647303,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS",,
Consignee,LEELYNN LOGISTICS LLC,OCI INTERNATIONAL INC.,18018.46,43609.219999999994,1,18018.46,100.0,41.318005687788045,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS",,
Consignee,LEELYNN LOGISTICS LLC,SK ENMOVE AMERICAS INC.,18018.46,639383.0,1,18018.46,100.0,2.8181012006887887,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS",,
Consignee,LEELYNN LOGISTICS LLC,TRIBUTE ENERGY INC.,18018.46,35216.48,1,18018.46,100.0,51.16485236457476,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS",,
Consignee,GEODIS USA INC.,LEELYNN LOGISTICS LLC,440208.0700000006,18018.46,1,18018.46,4.093168941677961,100.0,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS",,
Consignee,BANQUE CANTONALE VAUDOISE,LEELYNN LOGISTICS LLC,134015.28,18018.46,1,18018.46,13.445078799969675,100.0,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS",,
Consignee,ENEOS AMERICA INC.,LEELYNN LOGISTICS LLC,487157.56000000006,18018.46,1,18018.46,3.698692472308137,100.0,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS",,
Consignee,LEELYNN LOGISTICS LLC,RENKERT OIL LLC,18018.46,42227.92,1,18018.46,100.0,42.66954185761458,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS",,
Shipper,BELIZE SUGAR INDUSTRIES LTD.,SANTANDER SUGAR,72039.85,36010.0,1,18010.0,25.000052054522598,50.01388503193558,50.01388503193558,"BIG CREEK, BELIZE→ALASKA, US ISLANDS|UNCLASSIFIED",,
Consignee,LYONDELL CHEMICAL CO.,SHELL TRADING US CO PRODUCTS,308031.01000000007,18005.34,2,18005.34,5.845301094847559,100.0,100.0,"ROTTERDAM, NETHERLANDS→HOUSTON|UNCLASSIFIED","ROTTERDAM, NETHERLANDS→HOUSTON|CHEMICALS",
Consignee,EES COKE BATTERY L.L.C.,WIRT DOCK,476000.0,18000.0,1,18000.0,3.7815126050420167,100.0,100.0,"FORT WILLIAMS, ONT, CANADA→LAND PORTS|GENERAL CARGO",,
Consignee,KEYTRADE NORTH AMERICA,PETER CREMER NORTH AMERICA,317216.73000000004,30408.559999999998,1,18000.0,5.6743539346112035,59.19385857140227,59.19385857140227,"DAMIETTA, EGYPT→NEW ORLEANS|GENERAL CARGO",,
Shipper,CENTRAL ACUCAREIRA SANTO ANTONIO SA,IMPACTO BIOENERGIA ALAGOAS S.A.,18790.659999999996,30260.2,1,18000.0,95.7922712666825,59.484074791310036,95.7922712666825,"MACEIO, BRAZIL→BALTIMORE|UNCLASSIFIED",,
Consignee,MEEKHOFFS LAKESIDE DOCK,SRM CONCRETE,127000.0,18000.0,1,18000.0,14.173228346456693,100.0,100.0,"THESSALON, ONT, CANADA→LAND PORTS|GENERAL CARGO",,
Consignee,PETER CREMER NORTH AMERICA,UBS SWITZERLAND AG SWITZERLAND,30408.559999999998,58500.0,1,18000.0,59.19385857140227,30.76923076923077,59.19385857140227,"DAMIETTA, EGYPT→NEW ORLEANS|GENERAL CARGO",,
Shipper,INTER ONTARIO EQUIPMENT,INTER ONTARIO EQUIPMENT RENTAL,18000.0,109868.91,1,18000.0,100.0,16.383160622964223,100.0,"ALGOMA, ONT, CANADA→LAND PORTS|GENERAL CARGO",,
Consignee,EAGLE ROCK AGGREGATES INC.,VULCAN MATERIALS,5117592.23,18000.0,1,18000.0,0.35172790623062206,100.0,100.0,"ALL OTHER CANADA PACIFIC REGION PORTS, CANADA→LA-LONG BEACH|CONSTRUCTION MATERIALS",,
Consignee,SRM CONCRETE,ST CLARIN AGGREGATES MARINE CITY,18000.0,56287.44,1,18000.0,100.0,31.97871496731775,100.0,"THESSALON, ONT, CANADA→LAND PORTS|GENERAL CARGO",,
Consignee,CHS INC.,PETER CREMER NORTH AMERICA,675592.9400000001,30408.559999999998,1,18000.0,2.664326243551331,59.19385857140227,59.19385857140227,"DAMIETTA, EGYPT→NEW ORLEANS|GENERAL CARGO",,
Consignee,LAFARGE NA LORAIN,SRM CONCRETE,163000.0,18000.0,1,18000.0,11.042944785276074,100.0,100.0,"THESSALON, ONT, CANADA→LAND PORTS|GENERAL CARGO",,
Shipper,IMPACTO BIOENERGIA ALAGOAS S.A.,TIMBRO TRADING S A RUA JOSE,30260.2,21976.98,1,18000.0,59.484074791310036,81.90388306309603,81.90388306309603,"MACEIO, BRAZIL→BALTIMORE|UNCLASSIFIED",,
Consignee,LAFARGE NORTH AMERICA,SRM CONCRETE,579863.51,18000.0,1,18000.0,3.104178774760288,100.0,100.0,"THESSALON, ONT, CANADA→LAND PORTS|GENERAL CARGO",,
Consignee,WIRT DOCK,WIRT DOCK (OLD NORTH STAR DOCK),18000.0,34000.0,1,18000.0,100.0,52.94117647058824,100.0,"FORT WILLIAMS, ONT, CANADA→LAND PORTS|GENERAL CARGO",,
Consignee,OAKLEY INTERNATIONAL,PETER CREMER NORTH AMERICA,158459.0,30408.559999999998,1,18000.0,11.359405272026201,59.19385857140227,59.19385857140227,"DAMIETTA, EGYPT→NEW ORLEANS|GENERAL CARGO",,
Consignee,PETER CREMER NORTH AMERICA,UBS SWITZERLAND AG,30408.559999999998,1295481.1800000002,1,18000.0,59.19385857140227,1.3894451172189162,59.19385857140227,"DAMIETTA, EGYPT→NEW ORLEANS|GENERAL CARGO",,
Shipper,AUDI MEXICO S.A. DE C.V.,BMW SLP S.A. DE C.V.,205632.49999999988,54491.34000000004,6,17975.339999999997,8.741487848467536,32.98751691553187,32.98751691553187,"LAZARO CARDENAS, MEXICO→LA-LONG BEACH|RO/RO","VERACRUZ, MEXICO→BALTIMORE|RO/RO","VERACRUZ, MEXICO→NORTH FLORIDA|RO/RO"
Consignee,HANWA AMERICAN CORP.,JFE SHOJI TRADE AMERICA INC.,57191.16000000002,99985.8000000001,13,17959.92,31.403314778018128,17.962470670835238,31.403314778018128,"ALL OTHER VIET NAM PORTS, VIETNAM→NEW ORLEANS|GENERAL CARGO","ALL OTHER VIET NAM PORTS, VIETNAM→HOUSTON|GENERAL CARGO","ALL OTHER VIET NAM PORTS, VIETNAM→TAMPA|STEEL"
Consignee,PUSAN PIPE AMERICA INC.,SAMSUNG AMERICA INC.,540537.9599999996,108792.72000000006,12,17950.920000000002,3.320936054148725,16.50011140451309,16.50011140451309,"ALL OTHER VIET NAM PORTS, VIETNAM→HOUSTON|GENERAL CARGO","ALL OTHER VIET NAM PORTS, VIETNAM→TAMPA|GENERAL CARGO","PYONGTAEK, SOUTH KOREA→HOUSTON|STEEL"
Consignee,MITSUI & CO USA INC.,RENKERT OIL LLC,1183008.859999998,42227.92,2,17949.239999999998,1.5172532182049785,42.50562187292199,42.50562187292199,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS","ANTWERP, BELGIUM→HOUSTON|CHEMICALS",
Consignee,BMO BANK N.A.,BROWN BROTHERS HARRIMAN AND CO.,43707.82000000001,134701.26,4,17945.76,41.05846505270681,13.322637071100893,41.05846505270681,"ALL OTHER VIET NAM PORTS, VIETNAM→LA-LONG BEACH|GENERAL CARGO","ALL OTHER VIET NAM PORTS, VIETNAM→HOUSTON|GENERAL CARGO","ALL OTHER VIET NAM PORTS, VIETNAM→TAMPA|GENERAL CARGO"
Shipper,"ISU CHEMICAL CO., LTD.",S OIL CORP.,17943.8,2504832.9499999993,2,17943.8,100.0,0.7163671333850828,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS","ONSAN, SOUTH KOREA→NEW ORLEANS|CHEMICALS",
Shipper,"ISU CHEMICAL CO., LTD.","SK GEO CENTRIC CO., LTD.",17943.8,118426.94,2,17943.8,100.0,15.151788942617278,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS","ONSAN, SOUTH KOREA→NEW ORLEANS|CHEMICALS",
Shipper,"ISU CHEMICAL CO., LTD.",KUKDO CHEMICAL CO.,17943.8,36414.48,2,17943.8,100.0,49.27655152565682,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS","ONSAN, SOUTH KOREA→NEW ORLEANS|CHEMICALS",
Shipper,"ISU CHEMICAL CO., LTD.","SK ENMOVE CO., LTD.",17943.8,639383.0,2,17943.8,100.0,2.8064243184445004,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS","ONSAN, SOUTH KOREA→NEW ORLEANS|CHEMICALS",
Shipper,"ISU CHEMICAL CO., LTD.","YEOCHUN NCO CO., LTD.",17943.8,28171.899999999998,2,17943.8,100.0,63.69396455333152,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS","ONSAN, SOUTH KOREA→NEW ORLEANS|CHEMICALS",
Shipper,ENEOS CORP.,"ISU CHEMICAL CO., LTD.",267184.08,17943.8,2,17943.8,6.715894150579629,100.0,100.0,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS","ONSAN, SOUTH KOREA→NEW ORLEANS|CHEMICALS",
