Parent_Company,Subsidiary_Count,Subsidiaries,Entity_IDs,Categories,Estimated_Total_Tons
PBF Energy,3,PBF Energy; Paulsboro Refining; Delaware City Refining,PBF-001; PAULSBORO-001; DELAWARE-CITY-001,All,29800000
Emirates Global Aluminium,2,Emirates Aluminium (EGA); Dubai Aluminium,EMIRATES-001; DUBAI-001,All,16000000
Saudi Aramco,2,Motiva Enterprises; Aramco Americas,MOTIVA-001; ARAMCO-001,All,20000000
