Analysis_Type,Entity_ID,Entity_Name,Vessel_Type,Carrier,Vessel_Name,Vessel_Size_Class,Total_Tons,Total_Value,Shipment_Count,Unique_Vessels,Pct_Tons,Pct_Shipments
Entity_Vessel_Type,MARATHON-001,Marathon Petroleum,Vehicle Carrier,,,,242.24,3356000.0,2,,0.0013949837799907966,1.5384615384615385
Entity_Vessel_Type,MARTIN-001,Martin Marietta,Bulk Carrier,,,,8019070.0,7412295000.0,0,,94.5524719114254,
Entity_Vessel_Type,MARTIN-001,Martin Marietta,Tanker (Other),,,,0.14,140.0,0,,1.6507333228915019e-06,
Entity_Vessel_Type,MARTIN-001,Martin Marietta,Unknown,,,,462009.03,392380135.0,0,,5.447526437841283,
Entity_Vessel_Type,MORTON-001,Morton Salt,Bulk Carrier,,,,3472104.9,11707965900.0,24,,75.64627225550615,82.75862068965517
Entity_Vessel_Type,MORTON-001,Morton Salt,General Cargo,,,,158067.0,235096000.0,1,,3.4437840045129655,3.4482758620689653
Entity_Vessel_Type,MORTON-001,Morton Salt,Unknown,,,,959750.11,507792600.0,4,,20.90994373998089,13.793103448275861
Entity_Vessel_Type,MOSAIC-001,Mosaic,Bulk Carrier,,,,4332140.51,13127517000.0,25,,84.20955048123682,80.64516129032258
Entity_Vessel_Type,MOSAIC-001,Mosaic,General Cargo,,,,223949.0,420180000.0,0,,4.353193202572856,0.0
Entity_Vessel_Type,MOSAIC-001,Mosaic,Tanker (Other),,,,109250.51000000001,565806000.0,1,,2.1236468013235954,3.225806451612903
Entity_Vessel_Type,MOSAIC-001,Mosaic,Unknown,,,,479136.45,943488000.0,5,,9.313609514866728,16.129032258064516
Entity_Vessel_Type,MOTIVA-001,Motiva Enterprises,Container Ship,,,,6292.42,6022000.0,2,,1.325449890374369,2.941176470588235
Entity_Vessel_Type,MOTIVA-001,Motiva Enterprises,Tanker (Other),,,,468446.01,432490000.0,66,,98.67455010962564,97.05882352941177
Entity_Vessel_Type,PBF-001,PBF Energy,Bulk Carrier,,,,139279.0,78408000.0,0,,0.7611319949324946,0.0
Entity_Vessel_Type,PBF-001,PBF Energy,Tanker (Other),,,,16306808.16,9485895000.0,218,,89.11345878274744,87.55020080321285
Entity_Vessel_Type,PBF-001,PBF Energy,Unknown,,,,1852841.4,1057151600.0,31,,10.125409222320064,12.449799196787147
Entity_Vessel_Type,PETROBRAS-001,Petrobras,Tanker (Other),,,,1139893.05,1178786000.0,10,,91.26903363087028,71.42857142857143
Entity_Vessel_Type,PETROBRAS-001,Petrobras,Unknown,,,,109044.29999999999,94471000.0,4,,8.730966369129723,28.57142857142857
Entity_Vessel_Type,PMI-001,PMI Trading,Tanker (Other),,,,660365.54,937781000.0,3,,93.63572254803752,60.0
Entity_Vessel_Type,PMI-001,PMI Trading,Unknown,,,,44884.04,27290000.0,2,,6.364277451962466,40.0
Entity_Vessel_Type,SAUDI-REFINING-001,Saudi Refining Inc,Tanker (Other),,,,14980445.959999999,8543990000.0,214,,100.0,100.0
Entity_Vessel_Type,TERNIUM-001,Ternium,Bulk Carrier,,,,7105372.63,8648725500.0,80,,84.40099833506885,31.25
Entity_Vessel_Type,TERNIUM-001,Ternium,General Cargo,,,,156431.32,166061000.0,76,,1.8581656819978243,29.6875
